"Service Name","Description","Cost (JPY)","Service Category","Related Equipment"
"Post-Construction Cleaning","Cleaning after construction or renovation to remove dust, debris, and leftover materials.","¥10,000–¥20,000","Special Cleaning","Heavy-duty vacuums, brooms, dusters, scrapers, industrial cleaning chemicals"
"Upholstery Cleaning","Cleaning of fabric furniture like sofas, chairs, and cushions to remove stains and dirt.","¥4,000–¥8,000","Special Cleaning","Upholstery brushes, fabric cleaners, steam cleaner, vacuum cleaner"
"Pressure Washing","High-pressure washing of outdoor surfaces like driveways, walls, and patios to remove dirt and stains.","¥8,000–¥15,000","Special Cleaning","Pressure washer, cleaning detergents, water supply"
"Chandelier Cleaning","Cleaning of chandeliers and hanging light fixtures, often requiring special techniques and tools.","¥5,000–¥10,000","Special Cleaning","Step ladder, microfiber cloths, glass cleaner, dusting tools"
"Water Damage Restoration","Cleaning and drying after water damage to prevent mold and mildew.","¥15,000–¥30,000","Special Cleaning","Dehumidifiers, industrial fans, moisture meters, mold cleaning solutions"
"Hazardous Waste Disposal","Safe disposal of hazardous materials like old chemicals and dangerous substances.","¥10,000–¥25,000","Special Cleaning","Protective gear, waste disposal containers, safety equipment, labeling materials"
"Air Duct Cleaning","Cleaning of HVAC ducts to remove dust, allergens, and contaminants, improving air quality.","¥10,000–¥20,000","Special Cleaning","Air duct brushes, vacuum machines, compressed air systems"
"Event Preparation/Cleaning","Pre-event setup or post-event cleanup to ensure venues are ready or cleaned after events.","¥5,000–¥12,000","Special Cleaning","Trash bags, cleaning supplies, floor buffers, mops, brooms"
"Crime Scene/Trauma Cleanup","Professional cleaning and sanitization of crime or trauma scenes.","¥30,000–¥60,000","Special Cleaning","Biohazard disposal bags, protective clothing, cleaning chemicals, gloves"
"Hoarding Cleanup","Specialized cleaning for homes affected by hoarding, including waste removal and sanitizing.","¥10,000–¥30,000","Special Cleaning","Gloves, industrial trash bags, sanitizing chemicals, vacuum cleaners"
